srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,system1rank,system2rank
NCM,NCM,126,-1,126,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,126,-1,126,A35CL66BEUSJ5Z,-1,5,-1,36,1,2
NCM,NCM,126,-1,126,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,127,-1,127,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,127,-1,127,A37NFLYNUZQ0QS,-1,5,-1,36,2,1
NCM,NCM,127,-1,127,A20NUGCPGHLZGD,-1,5,-1,36,2,1
NCM,NCM,128,-1,128,AJ1VZT72SEBR1,-1,5,-1,36,1,2
NCM,NCM,128,-1,128,A37NFLYNUZQ0QS,-1,5,-1,36,1,2
NCM,NCM,128,-1,128,A35CL66BEUSJ5Z,-1,5,-1,36,1,2
NCM,NCM,129,-1,129,AJ1VZT72SEBR1,-1,5,-1,36,2,1
NCM,NCM,129,-1,129,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,129,-1,129,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,130,-1,130,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,130,-1,130,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,130,-1,130,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,131,-1,131,A3EHBCT63AB7JP,-1,5,-1,36,2,1
NCM,NCM,131,-1,131,AMMUQ5FYIZ1GQ,-1,5,-1,36,2,1
NCM,NCM,131,-1,131,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,132,-1,132,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,132,-1,132,A37NFLYNUZQ0QS,-1,5,-1,36,1,2
NCM,NCM,132,-1,132,A2EC3L6VH2WTKF,-1,5,-1,36,1,2
NCM,NCM,133,-1,133,AJ1VZT72SEBR1,-1,5,-1,36,2,1
NCM,NCM,133,-1,133,A35CL66BEUSJ5Z,-1,5,-1,36,2,1
NCM,NCM,133,-1,133,A1WAWEY2810TFN,-1,5,-1,36,2,1
NCM,NCM,134,-1,134,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,134,-1,134,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,134,-1,134,A39XF45WLMIGX2,-1,5,-1,36,1,2
NCM,NCM,135,-1,135,APKO12PP5J5LW,-1,5,-1,36,2,1
NCM,NCM,135,-1,135,A37NFLYNUZQ0QS,-1,5,-1,36,2,1
NCM,NCM,135,-1,135,A39XF45WLMIGX2,-1,5,-1,36,1,1
NCM,NCM,136,-1,136,A1MADOOBMC9QWI,-1,5,-1,36,1,2
NCM,NCM,136,-1,136,A1DXYZ9EW2R6DT,-1,5,-1,36,1,1
NCM,NCM,136,-1,136,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,137,-1,137,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,137,-1,137,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,137,-1,137,A1DXYZ9EW2R6DT,-1,5,-1,36,1,1
NCM,NCM,138,-1,138,APKO12PP5J5LW,-1,5,-1,36,2,1
NCM,NCM,138,-1,138,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,138,-1,138,A2EC3L6VH2WTKF,-1,5,-1,36,2,1
NCM,NCM,139,-1,139,A1MADOOBMC9QWI,-1,5,-1,36,1,2
NCM,NCM,139,-1,139,A35CL66BEUSJ5Z,-1,5,-1,36,2,1
NCM,NCM,139,-1,139,A1DXYZ9EW2R6DT,-1,5,-1,36,1,2
NCM,NCM,140,-1,140,A1MADOOBMC9QWI,-1,5,-1,36,1,2
NCM,NCM,140,-1,140,AMMUQ5FYIZ1GQ,-1,5,-1,36,1,2
NCM,NCM,140,-1,140,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,141,-1,141,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,141,-1,141,A35CL66BEUSJ5Z,-1,5,-1,36,1,2
NCM,NCM,141,-1,141,A39XF45WLMIGX2,-1,5,-1,36,1,1
NCM,NCM,142,-1,142,A3EHBCT63AB7JP,-1,5,-1,36,1,1
NCM,NCM,142,-1,142,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,142,-1,142,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,143,-1,143,APKO12PP5J5LW,-1,5,-1,36,1,2
NCM,NCM,143,-1,143,A35CL66BEUSJ5Z,-1,5,-1,36,1,2
NCM,NCM,143,-1,143,A2EC3L6VH2WTKF,-1,5,-1,36,2,1
NCM,NCM,144,-1,144,A3F1EX5JHQN5D4,-1,5,-1,36,1,2
NCM,NCM,144,-1,144,A1SCNBV5UPXZO1,-1,5,-1,36,1,2
NCM,NCM,144,-1,144,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,145,-1,145,AJ1VZT72SEBR1,-1,5,-1,36,2,1
NCM,NCM,145,-1,145,A2EC3L6VH2WTKF,-1,5,-1,36,1,2
NCM,NCM,145,-1,145,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,146,-1,146,A1OSNZPSG3HP9I,-1,5,-1,36,1,2
